CASE_SEQUENCE,WARD,CREATION_MONTH,N_POTHOLES_FILLED_ON_BLOCK,N_DAYS_FOR_COMPLETION,LATITUDE,LONGITUDE
3391,14,1,4,2,41.793385488,-87.7061486
3392,7,1,4,2,41.707902522,-87.57050695
3393,12,1,20,2,41.808577784,-87.67867032
3394,49,1,10,1,41.998812323,-87.66038323
3395,14,1,1,1,41.807695696,-87.72871997
3396,36,1,1,1,41.920628598,-87.77575322
3397,22,1,6,1,41.846696739,-87.72800993
3398,14,1,5,1,41.800192489,-87.74555432
3399,11,1,3,1,41.82288159,-87.65585352
3400,43,1,26,1,41.92916988,-87.65054982
3401,17,1,10,4,41.76125859,-87.6732942
3402,42,1,2,4,41.892444152,-87.63720038
3403,41,1,6,4,41.996673692,-87.80296598
3404,42,1,15,4,41.88817636,-87.64445898
3405,38,1,5,3,41.968418365,-87.77863047
3406,17,1,11,3,41.763352797,-87.67364051
3407,7,1,3,3,41.708157078,-87.5680768
3408,33,1,3,2,41.946791809,-87.69809434
3409,34,1,4,2,41.699720521,-87.62345489
3410,42,1,2,7,41.883611187,-87.6428579
3411,42,1,1,7,41.893372214,-87.62436142
3412,38,1,1,6,41.943502121,-87.80967365
3413,20,1,1,6,41.785955474,-87.59477656
3414,38,1,1,6,41.95168985,-87.79392496
3415,38,1,10,6,41.943035751,-87.8314254
3416,38,1,15,6,41.943017404,-87.83390844
3417,38,1,25,6,41.943002346,-87.83399551
3418,38,1,18,6,41.948569064,-87.83418458
3419,38,1,5,6,41.939414856,-87.83265353
3420,38,1,14,6,41.939430995,-87.83137006
3421,38,1,12,6,41.939381966,-87.83376176
3422,12,1,21,6,41.830299865,-87.68987562
3423,15,1,8,6,41.810014433,-87.68405622
3424,15,1,18,6,41.806555849,-87.68395536
3425,15,1,52,6,41.802911342,-87.68384958
3426,34,1,4,6,41.674817161,-87.62872147
3427,38,1,10,6,41.937659877,-87.83650658
3428,34,1,24,9,41.680807019,-87.62534868
3429,34,1,31,9,41.695715267,-87.65670353
3430,34,1,27,8,41.686609316,-87.65329683
3431,34,1,2,8,41.695978284,-87.63659435
3432,34,1,10,8,41.69387476,-87.65824465
3433,34,1,20,8,41.708764543,-87.65133119
3434,34,1,5,8,41.703394023,-87.62466437
3435,14,1,2,8,41.793967653,-87.70371682
3436,6,1,3,0,41.768844419,-87.63730245
3437,31,1,9,0,41.924221022,-87.75137507
3438,30,1,2,0,41.945231448,-87.72751411
3439,30,1,24,0,41.924184017,-87.75867053
3440,30,1,3,0,41.924153529,-87.76113266
3441,36,1,34,0,41.923968715,-87.75830455
3442,35,1,5,0,41.939414723,-87.71011483
3443,38,1,6,0,41.956910596,-87.76451309
3444,38,1,1,0,41.952645099,-87.80422196
3445,38,1,4,0,41.952857107,-87.80120003
3446,38,1,3,0,41.952852981,-87.79876715
3447,14,1,7,0,41.800538822,-87.73328378
3448,10,1,7,0,41.720629608,-87.56483303
3449,10,1,14,0,41.726245331,-87.55131357
3450,14,1,6,0,41.800400687,-87.73453694
3451,38,1,2,0,41.952852245,-87.79633414
3452,38,1,1,0,41.952893631,-87.7939681
3453,38,1,2,0,41.952934829,-87.79171197
